spec_id,label_surface,horizon_bars,barrier_unit,upper_barrier,lower_barrier,timeout_bars,feature_family,feature_scope,model_family,model_task,decision_family,holding_policy,risk_policy,threshold_policy,split_use,valid_proxy_model_bearing,runtime_level_required,locked_final_oos_b_used,auxiliary_symbols,feature_count_policy,purpose
wave01_eb_cell_001,symmetric_barrier_touch_or_timeout,6,atr_multiplier,0.8,0.8,6,price_return_range_volatility_context,compact_price_volatility_context,logistic_or_linear_rank_scout,three_class_event_touch_timeout,abstain_band_with_barrier_exit,barrier_or_timeout_declared_per_run,fixed_lot_0_02_distance_conversion_required_before_L4,train_only_coarse_density_bands,train_validation_research_oos_a_no_locked_final,True,L4_split_runtime_probe,False,none,variable_declared_per_run_no_fixed_count,small symmetric event barrier sanity surface
wave01_eb_cell_002,asymmetric_upside_breakout_barrier,12,atr_multiplier,1.2,0.7,12,multiscale_price_range_volatility_context,multi_horizon_returns_ranges_volatility,tree_or_boosted_onnx_feasible_scout,event_direction_with_no_touch,breakout_entry_abstain_timeout_exit,event_touch_or_timeout_declared_per_run,barrier_distance_to_point_tick_conversion_required,train_only_abstain_quantile_grid,train_validation_research_oos_a_no_locked_final,True,L4_split_runtime_probe,False,none,variable_declared_per_run_no_fixed_count,breakout edge with asymmetric barriers
wave01_eb_cell_003,mfe_mae_path_quality_ratio,12,price_range_ratio,1.0,1.0,12,causal_regime_context,rolling_volatility_trend_regime_context,logistic_or_linear_rank_scout,path_quality_rank_or_bucket,direction_agnostic_tradeability_abstain,timeout_path_quality_observation,no_trade_until_decision_surface_declares_direction,rank_only_no_probability_claim,train_validation_research_oos_a_no_locked_final,True,L4_split_runtime_probe,False,none,variable_declared_per_run_no_fixed_count,path quality without inherited long short direction
wave01_eb_cell_004,time_to_event_or_no_touch,24,atr_multiplier,1.4,1.4,24,session_state_context,cash_pre_after_session_flags_only,logistic_or_linear_rank_scout,time_to_touch_bucket,no_trade_vs_fast_event_abstain,fast_event_or_timeout,distance_units_declared_before_MT5,none_diagnostic_rank,train_validation_research_oos_a_no_locked_final,True,L4_split_runtime_probe,False,none,variable_declared_per_run_no_fixed_count,session-conditioned fast touch/no-touch scout
wave01_eb_cell_005,failed_breakout_reversal_barrier,9,atr_multiplier,0.9,1.3,9,price_return_range_volatility_context,range_position_and_recent_reversal_context,logistic_or_linear_rank_scout,failed_event_direction_bucket,reversal_entry_abstain_timeout_exit,failed_touch_confirmation_or_timeout,barrier_to_stop_takeprofit_conversion_required,train_only_coarse_abstain_band,train_validation_research_oos_a_no_locked_final,True,L4_split_runtime_probe,False,none,variable_declared_per_run_no_fixed_count,opposite-side path after failed touch
wave01_eb_cell_006,compression_then_expansion_barrier,24,atr_multiplier,1.8,1.8,24,causal_regime_context,volatility_compression_and_expansion_context,tree_or_boosted_onnx_feasible_scout,large_move_event_or_timeout,sparse_event_abstain_barrier_exit,large_event_or_timeout,fixed_lot_0_02_sparse_event_distance_conversion_required,train_only_min_density_guard,train_validation_research_oos_a_no_locked_final,True,L4_split_runtime_probe,False,none,variable_declared_per_run_no_fixed_count,extreme-ish sparse expansion event surface
wave01_eb_cell_007,volatility_shock_continuation,3,atr_multiplier,0.6,0.6,3,price_return_range_volatility_context,short_horizon_shock_context,logistic_or_linear_rank_scout,shock_continuation_direction_or_timeout,fast_event_abstain_timeout_exit,very_short_event_or_timeout,spread_and_fill_timing_risk_declared_before_L4,train_only_density_floor,train_validation_research_oos_a_no_locked_final,True,L4_split_runtime_probe,False,none,variable_declared_per_run_no_fixed_count,fast shock surface to expose execution timing drift
wave01_eb_cell_008,session_transition_barrier_touch,12,atr_multiplier,1.0,1.0,12,session_state_context,ny_session_transition_and_price_context,logistic_or_linear_rank_scout,session_touch_direction_or_timeout,session_gated_abstain_barrier_exit,session_transition_event_or_timeout,session_close_timeout_semantics_required_before_L4,train_only_session_density_bands,train_validation_research_oos_a_no_locked_final,True,L4_split_runtime_probe,False,none,variable_declared_per_run_no_fixed_count,session transition touch/no-touch surface
wave01_eb_cell_009,low_volatility_no_touch_regime,36,atr_multiplier,1.5,1.5,36,causal_regime_context,quiet_regime_persistence_context,tree_or_boosted_onnx_feasible_scout,no_touch_or_tradeability_regime,no_trade_regime_filter,timeout_only_regime_filter,no_position_when_no_touch_probability_high,train_only_no_trade_density_guard,train_validation_research_oos_a_no_locked_final,True,L4_split_runtime_probe,False,none,variable_declared_per_run_no_fixed_count,explicit no-trade/event-avoidance surface
wave01_eb_cell_010,pullback_to_barrier_mean_reversion,18,atr_multiplier,0.9,0.9,18,multiscale_price_range_volatility_context,pullback_distance_and_range_context,logistic_or_linear_rank_scout,pullback_resolution_event,mean_reversion_abstain_barrier_exit,pullback_resolution_or_timeout,entry_distance_and_exit_distance_conversion_required,train_only_coarse_abstain_band,train_validation_research_oos_a_no_locked_final,True,L4_split_runtime_probe,False,none,variable_declared_per_run_no_fixed_count,mean-reversion event surface with explicit timeout
wave01_eb_cell_011,range_edge_acceptance_rejection,6,price_range_ratio,0.75,0.75,6,price_return_range_volatility_context,range_edge_location_context,small_mlp_secondary_only,range_edge_accept_or_reject_bucket,range_edge_abstain_timeout_exit,range_edge_event_or_timeout,small_mlp_allowed_only_after_onnx_feasibility_smoke,no_micro_search_before_broad_clue,train_validation_research_oos_a_no_locked_final,True,L4_split_runtime_probe,False,none,variable_declared_per_run_no_fixed_count,one secondary nonlinear scout without superiority claim
wave01_eb_cell_012,extreme_timeout_path_quality,48,mfe_mae_ratio,2.0,2.0,48,multiscale_price_range_volatility_context,longer_context_price_range_path_context,logistic_or_linear_rank_scout,longer_path_quality_rank,diagnostic_path_quality_no_trade_until_decision_surface,diagnostic_timeout_only,diagnostic_no_position_until_trade_surface_declared,rank_only_no_probability_claim,train_validation_research_oos_a_no_locked_final,True,L4_split_runtime_probe,False,none,variable_declared_per_run_no_fixed_count,extreme horizon path-quality boundary scout
