attempt_id,run_id,bundle_id,cell_id,period_role,from_date,to_date,status,result_judgment,telemetry_observed,telemetry_row_count,tester_report_observed,runtime_probe_complete,terminal_mode,terminal_exit_code,terminal_timed_out,terminal_run_summary_path,score_telemetry_summary_path,repo_telemetry_path,tester_report_path,claim_boundary,next_action
attempt_wave01_st_cell_001_l4_validation_v0,onnxlab_wave01_st_cell_001_session_transition_surface_v0,bundle_wave01_st_cell_001_l4_onnx_export_v0,wave01_st_cell_001,validation,2024.06.05,2025.03.10,runtime_probe_completed,runtime_probe,True,53554,True,True,portable_contract_attempt,0,False,runtime/mt5_attempts/attempt_wave01_st_cell_001_l4_validation_v0/terminal_run_summary.yaml,runtime/mt5_attempts/attempt_wave01_st_cell_001_l4_validation_v0/score_telemetry_summary.yaml,runtime/mt5_attempts/attempt_wave01_st_cell_001_l4_validation_v0/telemetry/score_telemetry.csv,runtime/mt5_attempts/attempt_wave01_st_cell_001_l4_validation_v0/reports/tester_report.htm,wave01_session_transition_l4_score_runtime_observation_only_no_runtime_authority_no_economics_pass_no_candidate,aggregate this period role with its paired L4 attempt before L5 decision
attempt_wave01_st_cell_001_l4_research_oos_v0,onnxlab_wave01_st_cell_001_session_transition_surface_v0,bundle_wave01_st_cell_001_l4_onnx_export_v0,wave01_st_cell_001,research_oos,2025.04.03,2025.11.21,runtime_probe_completed,runtime_probe,True,45281,True,True,portable_contract_attempt,0,False,runtime/mt5_attempts/attempt_wave01_st_cell_001_l4_research_oos_v0/terminal_run_summary.yaml,runtime/mt5_attempts/attempt_wave01_st_cell_001_l4_research_oos_v0/score_telemetry_summary.yaml,runtime/mt5_attempts/attempt_wave01_st_cell_001_l4_research_oos_v0/telemetry/score_telemetry.csv,runtime/mt5_attempts/attempt_wave01_st_cell_001_l4_research_oos_v0/reports/tester_report.htm,wave01_session_transition_l4_score_runtime_observation_only_no_runtime_authority_no_economics_pass_no_candidate,aggregate this period role with its paired L4 attempt before L5 decision
attempt_wave01_st_cell_002_l4_validation_v0,onnxlab_wave01_st_cell_002_session_transition_surface_v0,bundle_wave01_st_cell_002_l4_onnx_export_v0,wave01_st_cell_002,validation,2024.06.05,2025.03.10,runtime_probe_completed,runtime_probe,True,53554,True,True,portable_contract_attempt,0,False,runtime/mt5_attempts/attempt_wave01_st_cell_002_l4_validation_v0/terminal_run_summary.yaml,runtime/mt5_attempts/attempt_wave01_st_cell_002_l4_validation_v0/score_telemetry_summary.yaml,runtime/mt5_attempts/attempt_wave01_st_cell_002_l4_validation_v0/telemetry/score_telemetry.csv,runtime/mt5_attempts/attempt_wave01_st_cell_002_l4_validation_v0/reports/tester_report.htm,wave01_session_transition_l4_score_runtime_observation_only_no_runtime_authority_no_economics_pass_no_candidate,aggregate this period role with its paired L4 attempt before L5 decision
attempt_wave01_st_cell_002_l4_research_oos_v0,onnxlab_wave01_st_cell_002_session_transition_surface_v0,bundle_wave01_st_cell_002_l4_onnx_export_v0,wave01_st_cell_002,research_oos,2025.04.03,2025.11.21,runtime_probe_completed,runtime_probe,True,45281,True,True,portable_contract_attempt,0,False,runtime/mt5_attempts/attempt_wave01_st_cell_002_l4_research_oos_v0/terminal_run_summary.yaml,runtime/mt5_attempts/attempt_wave01_st_cell_002_l4_research_oos_v0/score_telemetry_summary.yaml,runtime/mt5_attempts/attempt_wave01_st_cell_002_l4_research_oos_v0/telemetry/score_telemetry.csv,runtime/mt5_attempts/attempt_wave01_st_cell_002_l4_research_oos_v0/reports/tester_report.htm,wave01_session_transition_l4_score_runtime_observation_only_no_runtime_authority_no_economics_pass_no_candidate,aggregate this period role with its paired L4 attempt before L5 decision
attempt_wave01_st_cell_003_l4_validation_v0,onnxlab_wave01_st_cell_003_session_transition_surface_v0,bundle_wave01_st_cell_003_l4_onnx_export_v0,wave01_st_cell_003,validation,2024.06.05,2025.03.10,runtime_probe_completed,runtime_probe,True,53554,True,True,portable_contract_attempt,0,False,runtime/mt5_attempts/attempt_wave01_st_cell_003_l4_validation_v0/terminal_run_summary.yaml,runtime/mt5_attempts/attempt_wave01_st_cell_003_l4_validation_v0/score_telemetry_summary.yaml,runtime/mt5_attempts/attempt_wave01_st_cell_003_l4_validation_v0/telemetry/score_telemetry.csv,runtime/mt5_attempts/attempt_wave01_st_cell_003_l4_validation_v0/reports/tester_report.htm,wave01_session_transition_l4_score_runtime_observation_only_no_runtime_authority_no_economics_pass_no_candidate,aggregate this period role with its paired L4 attempt before L5 decision
attempt_wave01_st_cell_003_l4_research_oos_v0,onnxlab_wave01_st_cell_003_session_transition_surface_v0,bundle_wave01_st_cell_003_l4_onnx_export_v0,wave01_st_cell_003,research_oos,2025.04.03,2025.11.21,runtime_probe_completed,runtime_probe,True,45281,True,True,portable_contract_attempt,0,False,runtime/mt5_attempts/attempt_wave01_st_cell_003_l4_research_oos_v0/terminal_run_summary.yaml,runtime/mt5_attempts/attempt_wave01_st_cell_003_l4_research_oos_v0/score_telemetry_summary.yaml,runtime/mt5_attempts/attempt_wave01_st_cell_003_l4_research_oos_v0/telemetry/score_telemetry.csv,runtime/mt5_attempts/attempt_wave01_st_cell_003_l4_research_oos_v0/reports/tester_report.htm,wave01_session_transition_l4_score_runtime_observation_only_no_runtime_authority_no_economics_pass_no_candidate,aggregate this period role with its paired L4 attempt before L5 decision
attempt_wave01_st_cell_004_l4_validation_v0,onnxlab_wave01_st_cell_004_session_transition_surface_v0,bundle_wave01_st_cell_004_l4_onnx_export_v0,wave01_st_cell_004,validation,2024.06.05,2025.03.10,runtime_probe_completed,runtime_probe,True,53554,True,True,portable_contract_attempt,0,False,runtime/mt5_attempts/attempt_wave01_st_cell_004_l4_validation_v0/terminal_run_summary.yaml,runtime/mt5_attempts/attempt_wave01_st_cell_004_l4_validation_v0/score_telemetry_summary.yaml,runtime/mt5_attempts/attempt_wave01_st_cell_004_l4_validation_v0/telemetry/score_telemetry.csv,runtime/mt5_attempts/attempt_wave01_st_cell_004_l4_validation_v0/reports/tester_report.htm,wave01_session_transition_l4_score_runtime_observation_only_no_runtime_authority_no_economics_pass_no_candidate,aggregate this period role with its paired L4 attempt before L5 decision
attempt_wave01_st_cell_004_l4_research_oos_v0,onnxlab_wave01_st_cell_004_session_transition_surface_v0,bundle_wave01_st_cell_004_l4_onnx_export_v0,wave01_st_cell_004,research_oos,2025.04.03,2025.11.21,runtime_probe_completed,runtime_probe,True,45281,True,True,portable_contract_attempt,0,False,runtime/mt5_attempts/attempt_wave01_st_cell_004_l4_research_oos_v0/terminal_run_summary.yaml,runtime/mt5_attempts/attempt_wave01_st_cell_004_l4_research_oos_v0/score_telemetry_summary.yaml,runtime/mt5_attempts/attempt_wave01_st_cell_004_l4_research_oos_v0/telemetry/score_telemetry.csv,runtime/mt5_attempts/attempt_wave01_st_cell_004_l4_research_oos_v0/reports/tester_report.htm,wave01_session_transition_l4_score_runtime_observation_only_no_runtime_authority_no_economics_pass_no_candidate,aggregate this period role with its paired L4 attempt before L5 decision
attempt_wave01_st_cell_005_l4_validation_v0,onnxlab_wave01_st_cell_005_session_transition_surface_v0,bundle_wave01_st_cell_005_l4_onnx_export_v0,wave01_st_cell_005,validation,2024.06.05,2025.03.10,runtime_probe_completed,runtime_probe,True,53554,True,True,portable_contract_attempt,0,False,runtime/mt5_attempts/attempt_wave01_st_cell_005_l4_validation_v0/terminal_run_summary.yaml,runtime/mt5_attempts/attempt_wave01_st_cell_005_l4_validation_v0/score_telemetry_summary.yaml,runtime/mt5_attempts/attempt_wave01_st_cell_005_l4_validation_v0/telemetry/score_telemetry.csv,runtime/mt5_attempts/attempt_wave01_st_cell_005_l4_validation_v0/reports/tester_report.htm,wave01_session_transition_l4_score_runtime_observation_only_no_runtime_authority_no_economics_pass_no_candidate,aggregate this period role with its paired L4 attempt before L5 decision
attempt_wave01_st_cell_005_l4_research_oos_v0,onnxlab_wave01_st_cell_005_session_transition_surface_v0,bundle_wave01_st_cell_005_l4_onnx_export_v0,wave01_st_cell_005,research_oos,2025.04.03,2025.11.21,runtime_probe_completed,runtime_probe,True,45281,True,True,portable_contract_attempt,0,False,runtime/mt5_attempts/attempt_wave01_st_cell_005_l4_research_oos_v0/terminal_run_summary.yaml,runtime/mt5_attempts/attempt_wave01_st_cell_005_l4_research_oos_v0/score_telemetry_summary.yaml,runtime/mt5_attempts/attempt_wave01_st_cell_005_l4_research_oos_v0/telemetry/score_telemetry.csv,runtime/mt5_attempts/attempt_wave01_st_cell_005_l4_research_oos_v0/reports/tester_report.htm,wave01_session_transition_l4_score_runtime_observation_only_no_runtime_authority_no_economics_pass_no_candidate,aggregate this period role with its paired L4 attempt before L5 decision
attempt_wave01_st_cell_006_l4_validation_v0,onnxlab_wave01_st_cell_006_session_transition_surface_v0,bundle_wave01_st_cell_006_l4_onnx_export_v0,wave01_st_cell_006,validation,2024.06.05,2025.03.10,runtime_probe_completed,runtime_probe,True,53554,True,True,portable_contract_attempt,0,False,runtime/mt5_attempts/attempt_wave01_st_cell_006_l4_validation_v0/terminal_run_summary.yaml,runtime/mt5_attempts/attempt_wave01_st_cell_006_l4_validation_v0/score_telemetry_summary.yaml,runtime/mt5_attempts/attempt_wave01_st_cell_006_l4_validation_v0/telemetry/score_telemetry.csv,runtime/mt5_attempts/attempt_wave01_st_cell_006_l4_validation_v0/reports/tester_report.htm,wave01_session_transition_l4_score_runtime_observation_only_no_runtime_authority_no_economics_pass_no_candidate,aggregate this period role with its paired L4 attempt before L5 decision
attempt_wave01_st_cell_006_l4_research_oos_v0,onnxlab_wave01_st_cell_006_session_transition_surface_v0,bundle_wave01_st_cell_006_l4_onnx_export_v0,wave01_st_cell_006,research_oos,2025.04.03,2025.11.21,runtime_probe_completed,runtime_probe,True,45281,True,True,portable_contract_attempt,0,False,runtime/mt5_attempts/attempt_wave01_st_cell_006_l4_research_oos_v0/terminal_run_summary.yaml,runtime/mt5_attempts/attempt_wave01_st_cell_006_l4_research_oos_v0/score_telemetry_summary.yaml,runtime/mt5_attempts/attempt_wave01_st_cell_006_l4_research_oos_v0/telemetry/score_telemetry.csv,runtime/mt5_attempts/attempt_wave01_st_cell_006_l4_research_oos_v0/reports/tester_report.htm,wave01_session_transition_l4_score_runtime_observation_only_no_runtime_authority_no_economics_pass_no_candidate,aggregate this period role with its paired L4 attempt before L5 decision
attempt_wave01_st_cell_007_l4_validation_v0,onnxlab_wave01_st_cell_007_session_transition_surface_v0,bundle_wave01_st_cell_007_l4_onnx_export_v0,wave01_st_cell_007,validation,2024.06.05,2025.03.10,runtime_probe_completed,runtime_probe,True,53554,True,True,portable_contract_attempt,0,False,runtime/mt5_attempts/attempt_wave01_st_cell_007_l4_validation_v0/terminal_run_summary.yaml,runtime/mt5_attempts/attempt_wave01_st_cell_007_l4_validation_v0/score_telemetry_summary.yaml,runtime/mt5_attempts/attempt_wave01_st_cell_007_l4_validation_v0/telemetry/score_telemetry.csv,runtime/mt5_attempts/attempt_wave01_st_cell_007_l4_validation_v0/reports/tester_report.htm,wave01_session_transition_l4_score_runtime_observation_only_no_runtime_authority_no_economics_pass_no_candidate,aggregate this period role with its paired L4 attempt before L5 decision
attempt_wave01_st_cell_007_l4_research_oos_v0,onnxlab_wave01_st_cell_007_session_transition_surface_v0,bundle_wave01_st_cell_007_l4_onnx_export_v0,wave01_st_cell_007,research_oos,2025.04.03,2025.11.21,runtime_probe_completed,runtime_probe,True,45281,True,True,portable_contract_attempt,0,False,runtime/mt5_attempts/attempt_wave01_st_cell_007_l4_research_oos_v0/terminal_run_summary.yaml,runtime/mt5_attempts/attempt_wave01_st_cell_007_l4_research_oos_v0/score_telemetry_summary.yaml,runtime/mt5_attempts/attempt_wave01_st_cell_007_l4_research_oos_v0/telemetry/score_telemetry.csv,runtime/mt5_attempts/attempt_wave01_st_cell_007_l4_research_oos_v0/reports/tester_report.htm,wave01_session_transition_l4_score_runtime_observation_only_no_runtime_authority_no_economics_pass_no_candidate,aggregate this period role with its paired L4 attempt before L5 decision
attempt_wave01_st_cell_008_l4_validation_v0,onnxlab_wave01_st_cell_008_session_transition_surface_v0,bundle_wave01_st_cell_008_l4_onnx_export_v0,wave01_st_cell_008,validation,2024.06.05,2025.03.10,runtime_probe_completed,runtime_probe,True,53554,True,True,portable_contract_attempt,0,False,runtime/mt5_attempts/attempt_wave01_st_cell_008_l4_validation_v0/terminal_run_summary.yaml,runtime/mt5_attempts/attempt_wave01_st_cell_008_l4_validation_v0/score_telemetry_summary.yaml,runtime/mt5_attempts/attempt_wave01_st_cell_008_l4_validation_v0/telemetry/score_telemetry.csv,runtime/mt5_attempts/attempt_wave01_st_cell_008_l4_validation_v0/reports/tester_report.htm,wave01_session_transition_l4_score_runtime_observation_only_no_runtime_authority_no_economics_pass_no_candidate,aggregate this period role with its paired L4 attempt before L5 decision
attempt_wave01_st_cell_008_l4_research_oos_v0,onnxlab_wave01_st_cell_008_session_transition_surface_v0,bundle_wave01_st_cell_008_l4_onnx_export_v0,wave01_st_cell_008,research_oos,2025.04.03,2025.11.21,runtime_probe_completed,runtime_probe,True,45281,True,True,portable_contract_attempt,0,False,runtime/mt5_attempts/attempt_wave01_st_cell_008_l4_research_oos_v0/terminal_run_summary.yaml,runtime/mt5_attempts/attempt_wave01_st_cell_008_l4_research_oos_v0/score_telemetry_summary.yaml,runtime/mt5_attempts/attempt_wave01_st_cell_008_l4_research_oos_v0/telemetry/score_telemetry.csv,runtime/mt5_attempts/attempt_wave01_st_cell_008_l4_research_oos_v0/reports/tester_report.htm,wave01_session_transition_l4_score_runtime_observation_only_no_runtime_authority_no_economics_pass_no_candidate,aggregate this period role with its paired L4 attempt before L5 decision
attempt_wave01_st_cell_009_l4_validation_v0,onnxlab_wave01_st_cell_009_session_transition_surface_v0,bundle_wave01_st_cell_009_l4_onnx_export_v0,wave01_st_cell_009,validation,2024.06.05,2025.03.10,runtime_probe_completed,runtime_probe,True,53554,True,True,portable_contract_attempt,0,False,runtime/mt5_attempts/attempt_wave01_st_cell_009_l4_validation_v0/terminal_run_summary.yaml,runtime/mt5_attempts/attempt_wave01_st_cell_009_l4_validation_v0/score_telemetry_summary.yaml,runtime/mt5_attempts/attempt_wave01_st_cell_009_l4_validation_v0/telemetry/score_telemetry.csv,runtime/mt5_attempts/attempt_wave01_st_cell_009_l4_validation_v0/reports/tester_report.htm,wave01_session_transition_l4_score_runtime_observation_only_no_runtime_authority_no_economics_pass_no_candidate,aggregate this period role with its paired L4 attempt before L5 decision
attempt_wave01_st_cell_009_l4_research_oos_v0,onnxlab_wave01_st_cell_009_session_transition_surface_v0,bundle_wave01_st_cell_009_l4_onnx_export_v0,wave01_st_cell_009,research_oos,2025.04.03,2025.11.21,runtime_probe_completed,runtime_probe,True,45281,True,True,portable_contract_attempt,0,False,runtime/mt5_attempts/attempt_wave01_st_cell_009_l4_research_oos_v0/terminal_run_summary.yaml,runtime/mt5_attempts/attempt_wave01_st_cell_009_l4_research_oos_v0/score_telemetry_summary.yaml,runtime/mt5_attempts/attempt_wave01_st_cell_009_l4_research_oos_v0/telemetry/score_telemetry.csv,runtime/mt5_attempts/attempt_wave01_st_cell_009_l4_research_oos_v0/reports/tester_report.htm,wave01_session_transition_l4_score_runtime_observation_only_no_runtime_authority_no_economics_pass_no_candidate,aggregate this period role with its paired L4 attempt before L5 decision
attempt_wave01_st_cell_010_l4_validation_v0,onnxlab_wave01_st_cell_010_session_transition_surface_v0,bundle_wave01_st_cell_010_l4_onnx_export_v0,wave01_st_cell_010,validation,2024.06.05,2025.03.10,runtime_probe_completed,runtime_probe,True,53554,True,True,portable_contract_attempt,0,False,runtime/mt5_attempts/attempt_wave01_st_cell_010_l4_validation_v0/terminal_run_summary.yaml,runtime/mt5_attempts/attempt_wave01_st_cell_010_l4_validation_v0/score_telemetry_summary.yaml,runtime/mt5_attempts/attempt_wave01_st_cell_010_l4_validation_v0/telemetry/score_telemetry.csv,runtime/mt5_attempts/attempt_wave01_st_cell_010_l4_validation_v0/reports/tester_report.htm,wave01_session_transition_l4_score_runtime_observation_only_no_runtime_authority_no_economics_pass_no_candidate,aggregate this period role with its paired L4 attempt before L5 decision
attempt_wave01_st_cell_010_l4_research_oos_v0,onnxlab_wave01_st_cell_010_session_transition_surface_v0,bundle_wave01_st_cell_010_l4_onnx_export_v0,wave01_st_cell_010,research_oos,2025.04.03,2025.11.21,runtime_probe_completed,runtime_probe,True,45281,True,True,portable_contract_attempt,0,False,runtime/mt5_attempts/attempt_wave01_st_cell_010_l4_research_oos_v0/terminal_run_summary.yaml,runtime/mt5_attempts/attempt_wave01_st_cell_010_l4_research_oos_v0/score_telemetry_summary.yaml,runtime/mt5_attempts/attempt_wave01_st_cell_010_l4_research_oos_v0/telemetry/score_telemetry.csv,runtime/mt5_attempts/attempt_wave01_st_cell_010_l4_research_oos_v0/reports/tester_report.htm,wave01_session_transition_l4_score_runtime_observation_only_no_runtime_authority_no_economics_pass_no_candidate,aggregate this period role with its paired L4 attempt before L5 decision
