run_id,result_judgment,target_family,horizon_bars,input_family,decision_family,model_family,task_kind,feature_count,export_adapter_status,direct_l4_ready,materialization_blockers,required_next_action,claim_boundary
onnxlab_wave0_cell_001_surface_scout_v0,inconclusive,future_return_rank_or_quantile,1,price_only_m5_returns_ranges_volatility,diagnostic_rank_only,linear_or_ridge_rank_scout,regression,13,skl2onnx_converter_likely_available,false,requires_retrain_for_materialization|requires_onnx_export_after_retrain|requires_strategy_tester_ea_or_runtime_adapter|requires_declared_runtime_observation_mode_for_diagnostic_surface,retrain_export_and_build_or_select_strategy_tester_adapter_before_L4,l4_materialization_preflight_only_no_runtime_authority_no_candidate_no_baseline
onnxlab_wave0_cell_002_surface_scout_v0,inconclusive,future_return_rank_or_quantile,3,price_only_m5_returns_ranges_volatility,abstain_capable_long_short,logistic_classification_scout,classification,13,skl2onnx_converter_likely_available,false,requires_retrain_for_materialization|requires_onnx_export_after_retrain|requires_strategy_tester_ea_or_runtime_adapter,retrain_export_and_build_or_select_strategy_tester_adapter_before_L4,l4_materialization_preflight_only_no_runtime_authority_no_candidate_no_baseline
onnxlab_wave0_cell_003_surface_scout_v0,inconclusive,future_return_rank_or_quantile,12,multiscale_us100_m5_aggregates,diagnostic_rank_only,linear_or_ridge_rank_scout,regression,43,skl2onnx_converter_likely_available,false,requires_retrain_for_materialization|requires_onnx_export_after_retrain|requires_strategy_tester_ea_or_runtime_adapter|requires_declared_runtime_observation_mode_for_diagnostic_surface,retrain_export_and_build_or_select_strategy_tester_adapter_before_L4,l4_materialization_preflight_only_no_runtime_authority_no_candidate_no_baseline
onnxlab_wave0_cell_004_surface_scout_v0,inconclusive,atr_scaled_barrier_event,3,price_only_m5_returns_ranges_volatility,abstain_capable_long_short,logistic_classification_scout,classification,13,skl2onnx_converter_likely_available,false,requires_retrain_for_materialization|requires_onnx_export_after_retrain|requires_strategy_tester_ea_or_runtime_adapter,retrain_export_and_build_or_select_strategy_tester_adapter_before_L4,l4_materialization_preflight_only_no_runtime_authority_no_candidate_no_baseline
onnxlab_wave0_cell_005_surface_scout_v0,inconclusive,atr_scaled_barrier_event,6,multiscale_us100_m5_aggregates,abstain_capable_long_short,onnx_realistic_tree_or_boosted_scout,classification,43,requires_export_adapter_probe,false,requires_retrain_for_materialization|requires_onnx_export_after_retrain|requires_export_adapter_probe|requires_strategy_tester_ea_or_runtime_adapter,retrain_export_and_build_or_select_strategy_tester_adapter_before_L4,l4_materialization_preflight_only_no_runtime_authority_no_candidate_no_baseline
onnxlab_wave0_cell_006_surface_scout_v0,inconclusive,atr_scaled_barrier_event,24,causal_rolling_regime_context,diagnostic_rank_only,linear_or_ridge_rank_scout,regression,66,skl2onnx_converter_likely_available,false,requires_retrain_for_materialization|requires_onnx_export_after_retrain|requires_strategy_tester_ea_or_runtime_adapter|requires_declared_runtime_observation_mode_for_diagnostic_surface,retrain_export_and_build_or_select_strategy_tester_adapter_before_L4,l4_materialization_preflight_only_no_runtime_authority_no_candidate_no_baseline
onnxlab_wave0_cell_007_surface_scout_v0,inconclusive,path_quality_mfe_mae_payoff_suitability,6,price_only_m5_returns_ranges_volatility,abstain_capable_direction_agnostic_tradeability,linear_or_ridge_rank_scout,regression,13,skl2onnx_converter_likely_available,false,requires_retrain_for_materialization|requires_onnx_export_after_retrain|requires_strategy_tester_ea_or_runtime_adapter,retrain_export_and_build_or_select_strategy_tester_adapter_before_L4,l4_materialization_preflight_only_no_runtime_authority_no_candidate_no_baseline
onnxlab_wave0_cell_008_surface_scout_v0,preserved_clue,path_quality_mfe_mae_payoff_suitability,12,multiscale_us100_m5_aggregates,abstain_capable_direction_agnostic_tradeability,logistic_classification_scout,classification,43,skl2onnx_converter_likely_available,false,requires_retrain_for_materialization|requires_onnx_export_after_retrain|requires_strategy_tester_ea_or_runtime_adapter,retrain_export_and_build_or_select_strategy_tester_adapter_before_L4,l4_materialization_preflight_only_no_runtime_authority_no_candidate_no_baseline
onnxlab_wave0_cell_009_surface_scout_v0,inconclusive,path_quality_mfe_mae_payoff_suitability,24,causal_rolling_regime_context,diagnostic_rank_only,linear_or_ridge_rank_scout,regression,66,skl2onnx_converter_likely_available,false,requires_retrain_for_materialization|requires_onnx_export_after_retrain|requires_strategy_tester_ea_or_runtime_adapter|requires_declared_runtime_observation_mode_for_diagnostic_surface,retrain_export_and_build_or_select_strategy_tester_adapter_before_L4,l4_materialization_preflight_only_no_runtime_authority_no_candidate_no_baseline
onnxlab_wave0_cell_010_surface_scout_v0,preserved_clue,tradeability_or_no_trade_regime,3,session_calendar_state,diagnostic_rank_only,logistic_classification_scout,classification,9,skl2onnx_converter_likely_available,false,requires_retrain_for_materialization|requires_onnx_export_after_retrain|requires_strategy_tester_ea_or_runtime_adapter|requires_declared_runtime_observation_mode_for_diagnostic_surface,retrain_export_and_build_or_select_strategy_tester_adapter_before_L4,l4_materialization_preflight_only_no_runtime_authority_no_candidate_no_baseline
onnxlab_wave0_cell_011_surface_scout_v0,preserved_clue,tradeability_or_no_trade_regime,6,causal_rolling_regime_context,abstain_capable_direction_agnostic_tradeability,logistic_classification_scout,classification,66,skl2onnx_converter_likely_available,false,requires_retrain_for_materialization|requires_onnx_export_after_retrain|requires_strategy_tester_ea_or_runtime_adapter,retrain_export_and_build_or_select_strategy_tester_adapter_before_L4,l4_materialization_preflight_only_no_runtime_authority_no_candidate_no_baseline
onnxlab_wave0_cell_012_surface_scout_v0,preserved_clue,tradeability_or_no_trade_regime,12,multiscale_us100_m5_aggregates,abstain_capable_direction_agnostic_tradeability,onnx_realistic_tree_or_boosted_scout,classification,43,requires_export_adapter_probe,false,requires_retrain_for_materialization|requires_onnx_export_after_retrain|requires_export_adapter_probe|requires_strategy_tester_ea_or_runtime_adapter,retrain_export_and_build_or_select_strategy_tester_adapter_before_L4,l4_materialization_preflight_only_no_runtime_authority_no_candidate_no_baseline
