record_id,schema_version,record_family,stage_kind,goal_id,wave_id,campaign_id,synthesis_stage_id,surface_id,sweep_id,run_id,l4_pair_id,bundle_id,attempt_id,period_role,proxy_record_id,mt5_record_id,metric_id,metric_namespace,metric_value,value_type,unit,value_status,n_a_reason,authority,authority_path,authority_sha256,source_artifact_refs_json,parser_diagnostic,claim_effect,claim_boundary,created_at_utc
proxy_onnxlab_wave03_mix2_cell_001_tradeability_gate_control_v0_proxy_validation_roc_auc_v1,kpi_ledger_record_v1,proxy_experiment,special_mixing,goal_us100_onnx_forward_boundary_v0,wave_us100_wave03_volatility_state_transition_surface_v0,campaign_us100_wave03_bounded_synthesis_special_mixing_v0,campaign_us100_wave03_bounded_synthesis_special_mixing_v0,,,onnxlab_wave03_mix2_cell_001_tradeability_gate_control_v0,onnxlab_wave03_mix2_cell_001_tradeability_gate_control_v0,,,validation,,,proxy.validation.roc_auc,proxy,0.623792093885,float,ratio,observed,,proxy_metrics_json,lab/runs/onnxlab_wave03_mix2_cell_001_tradeability_gate_control_v0/metrics.json,7e1bbc059c57aa4fe371fa90875c6a7b90361d7e3914e3aa8a389778f63832c7,"[{""availability"": ""present_hash_recorded"", ""path"": ""lab/runs/onnxlab_wave03_mix2_cell_001_tradeability_gate_control_v0/metrics.json"", ""sha256"": ""7e1bbc059c57aa4fe371fa90875c6a7b90361d7e3914e3aa8a389778f63832c7"", ""size_bytes"": 3425}]",proxy_metrics_json_key:model_metrics.validation.roc_auc,proxy_observation_only_no_runtime_authority_no_economics_pass,kpi_observation_projection_only_no_runtime_authority_no_economics_pass_no_selected_baseline_no_live_readiness,2026-06-28T19:15:47.050075Z
proxy_onnxlab_wave03_mix2_cell_002_tradeability_gate_longer_horizon_v0_proxy_validation_roc_auc_v1,kpi_ledger_record_v1,proxy_experiment,special_mixing,goal_us100_onnx_forward_boundary_v0,wave_us100_wave03_volatility_state_transition_surface_v0,campaign_us100_wave03_bounded_synthesis_special_mixing_v0,campaign_us100_wave03_bounded_synthesis_special_mixing_v0,,,onnxlab_wave03_mix2_cell_002_tradeability_gate_longer_horizon_v0,onnxlab_wave03_mix2_cell_002_tradeability_gate_longer_horizon_v0,,,validation,,,proxy.validation.roc_auc,proxy,0.632656978274,float,ratio,observed,,proxy_metrics_json,lab/runs/onnxlab_wave03_mix2_cell_002_tradeability_gate_longer_horizon_v0/metrics.json,1be6465245cc3d765be2e1939b13ab619ac471072aa28a752f1c3195faacfb34,"[{""availability"": ""present_hash_recorded"", ""path"": ""lab/runs/onnxlab_wave03_mix2_cell_002_tradeability_gate_longer_horizon_v0/metrics.json"", ""sha256"": ""1be6465245cc3d765be2e1939b13ab619ac471072aa28a752f1c3195faacfb34"", ""size_bytes"": 3434}]",proxy_metrics_json_key:model_metrics.validation.roc_auc,proxy_observation_only_no_runtime_authority_no_economics_pass,kpi_observation_projection_only_no_runtime_authority_no_economics_pass_no_selected_baseline_no_live_readiness,2026-06-28T19:15:47.050075Z
proxy_onnxlab_wave03_mix2_cell_003_adverse_move_abstain_control_v0_proxy_validation_roc_auc_v1,kpi_ledger_record_v1,proxy_experiment,special_mixing,goal_us100_onnx_forward_boundary_v0,wave_us100_wave03_volatility_state_transition_surface_v0,campaign_us100_wave03_bounded_synthesis_special_mixing_v0,campaign_us100_wave03_bounded_synthesis_special_mixing_v0,,,onnxlab_wave03_mix2_cell_003_adverse_move_abstain_control_v0,onnxlab_wave03_mix2_cell_003_adverse_move_abstain_control_v0,,,validation,,,proxy.validation.roc_auc,proxy,0.609556272369,float,ratio,observed,,proxy_metrics_json,lab/runs/onnxlab_wave03_mix2_cell_003_adverse_move_abstain_control_v0/metrics.json,159d9954344d39eb8c5801f47938f167056662d9ecbe7bc4c24ce177596b69d4,"[{""availability"": ""present_hash_recorded"", ""path"": ""lab/runs/onnxlab_wave03_mix2_cell_003_adverse_move_abstain_control_v0/metrics.json"", ""sha256"": ""159d9954344d39eb8c5801f47938f167056662d9ecbe7bc4c24ce177596b69d4"", ""size_bytes"": 3428}]",proxy_metrics_json_key:model_metrics.validation.roc_auc,proxy_observation_only_no_runtime_authority_no_economics_pass,kpi_observation_projection_only_no_runtime_authority_no_economics_pass_no_selected_baseline_no_live_readiness,2026-06-28T19:15:47.050075Z
proxy_onnxlab_wave03_mix2_cell_004_drawdown_rebound_abstain_control_v0_proxy_validation_roc_auc_v1,kpi_ledger_record_v1,proxy_experiment,special_mixing,goal_us100_onnx_forward_boundary_v0,wave_us100_wave03_volatility_state_transition_surface_v0,campaign_us100_wave03_bounded_synthesis_special_mixing_v0,campaign_us100_wave03_bounded_synthesis_special_mixing_v0,,,onnxlab_wave03_mix2_cell_004_drawdown_rebound_abstain_control_v0,onnxlab_wave03_mix2_cell_004_drawdown_rebound_abstain_control_v0,,,validation,,,proxy.validation.roc_auc,proxy,0.606004960594,float,ratio,observed,,proxy_metrics_json,lab/runs/onnxlab_wave03_mix2_cell_004_drawdown_rebound_abstain_control_v0/metrics.json,725406495375b6f57fca93ee7d3b1e0c989714d3618a3848ff122295fad7fd41,"[{""availability"": ""present_hash_recorded"", ""path"": ""lab/runs/onnxlab_wave03_mix2_cell_004_drawdown_rebound_abstain_control_v0/metrics.json"", ""sha256"": ""725406495375b6f57fca93ee7d3b1e0c989714d3618a3848ff122295fad7fd41"", ""size_bytes"": 3440}]",proxy_metrics_json_key:model_metrics.validation.roc_auc,proxy_observation_only_no_runtime_authority_no_economics_pass,kpi_observation_projection_only_no_runtime_authority_no_economics_pass_no_selected_baseline_no_live_readiness,2026-06-28T19:15:47.050075Z
proxy_onnxlab_wave03_mix2_cell_005_low_vol_false_break_filter_v0_proxy_validation_roc_auc_v1,kpi_ledger_record_v1,proxy_experiment,special_mixing,goal_us100_onnx_forward_boundary_v0,wave_us100_wave03_volatility_state_transition_surface_v0,campaign_us100_wave03_bounded_synthesis_special_mixing_v0,campaign_us100_wave03_bounded_synthesis_special_mixing_v0,,,onnxlab_wave03_mix2_cell_005_low_vol_false_break_filter_v0,onnxlab_wave03_mix2_cell_005_low_vol_false_break_filter_v0,,,validation,,,proxy.validation.roc_auc,proxy,0.520281819144,float,ratio,observed,,proxy_metrics_json,lab/runs/onnxlab_wave03_mix2_cell_005_low_vol_false_break_filter_v0/metrics.json,6c699d08d2e9dda1ef6dd965b4618abf005594ba86da66d60747ef955977f8f0,"[{""availability"": ""present_hash_recorded"", ""path"": ""lab/runs/onnxlab_wave03_mix2_cell_005_low_vol_false_break_filter_v0/metrics.json"", ""sha256"": ""6c699d08d2e9dda1ef6dd965b4618abf005594ba86da66d60747ef955977f8f0"", ""size_bytes"": 3436}]",proxy_metrics_json_key:model_metrics.validation.roc_auc,proxy_observation_only_no_runtime_authority_no_economics_pass,kpi_observation_projection_only_no_runtime_authority_no_economics_pass_no_selected_baseline_no_live_readiness,2026-06-28T19:15:47.050075Z
proxy_onnxlab_wave03_mix2_cell_006_session_gate_control_v0_proxy_validation_roc_auc_v1,kpi_ledger_record_v1,proxy_experiment,special_mixing,goal_us100_onnx_forward_boundary_v0,wave_us100_wave03_volatility_state_transition_surface_v0,campaign_us100_wave03_bounded_synthesis_special_mixing_v0,campaign_us100_wave03_bounded_synthesis_special_mixing_v0,,,onnxlab_wave03_mix2_cell_006_session_gate_control_v0,onnxlab_wave03_mix2_cell_006_session_gate_control_v0,,,validation,,,proxy.validation.roc_auc,proxy,0.514114483239,float,ratio,observed,,proxy_metrics_json,lab/runs/onnxlab_wave03_mix2_cell_006_session_gate_control_v0/metrics.json,e2c3296d97eac0b7c4f7421ae117bbbcba9c29062715b4eefaf4a21719fa1490,"[{""availability"": ""present_hash_recorded"", ""path"": ""lab/runs/onnxlab_wave03_mix2_cell_006_session_gate_control_v0/metrics.json"", ""sha256"": ""e2c3296d97eac0b7c4f7421ae117bbbcba9c29062715b4eefaf4a21719fa1490"", ""size_bytes"": 3442}]",proxy_metrics_json_key:model_metrics.validation.roc_auc,proxy_observation_only_no_runtime_authority_no_economics_pass,kpi_observation_projection_only_no_runtime_authority_no_economics_pass_no_selected_baseline_no_live_readiness,2026-06-28T19:15:47.050075Z
proxy_onnxlab_wave03_mix3_cell_001_cell009_tradeability_anchor_logistic_v0_proxy_validation_roc_auc_v1,kpi_ledger_record_v1,proxy_experiment,special_mixing,goal_us100_onnx_forward_boundary_v0,wave_us100_wave03_volatility_state_transition_surface_v0,campaign_us100_wave03_bounded_synthesis_special_mixing_v0,campaign_us100_wave03_bounded_synthesis_special_mixing_v0,,,onnxlab_wave03_mix3_cell_001_cell009_tradeability_anchor_logistic_v0,onnxlab_wave03_mix3_cell_001_cell009_tradeability_anchor_logistic_v0,,,validation,,,proxy.validation.roc_auc,proxy,0.628227902592,float,ratio,observed,,proxy_metrics_json,lab/runs/onnxlab_wave03_mix3_cell_001_cell009_tradeability_anchor_logistic_v0/metrics.json,db01982233e64f02420e22a9c298c3d59c2a074ab7344e885c361863fe485bbe,"[{""availability"": ""present_hash_recorded"", ""path"": ""lab/runs/onnxlab_wave03_mix3_cell_001_cell009_tradeability_anchor_logistic_v0/metrics.json"", ""sha256"": ""db01982233e64f02420e22a9c298c3d59c2a074ab7344e885c361863fe485bbe"", ""size_bytes"": 3447}]",proxy_metrics_json_key:model_metrics.validation.roc_auc,proxy_observation_only_no_runtime_authority_no_economics_pass,kpi_observation_projection_only_no_runtime_authority_no_economics_pass_no_selected_baseline_no_live_readiness,2026-06-28T19:15:47.050075Z
proxy_onnxlab_wave03_mix3_cell_002_cell009_tradeability_anchor_tree_v0_proxy_validation_roc_auc_v1,kpi_ledger_record_v1,proxy_experiment,special_mixing,goal_us100_onnx_forward_boundary_v0,wave_us100_wave03_volatility_state_transition_surface_v0,campaign_us100_wave03_bounded_synthesis_special_mixing_v0,campaign_us100_wave03_bounded_synthesis_special_mixing_v0,,,onnxlab_wave03_mix3_cell_002_cell009_tradeability_anchor_tree_v0,onnxlab_wave03_mix3_cell_002_cell009_tradeability_anchor_tree_v0,,,validation,,,proxy.validation.roc_auc,proxy,0.632906076988,float,ratio,observed,,proxy_metrics_json,lab/runs/onnxlab_wave03_mix3_cell_002_cell009_tradeability_anchor_tree_v0/metrics.json,839a6c296ea2eb4d8891690d6de50a10fe8fe8124cba75f32e2b0c385c8a36fe,"[{""availability"": ""present_hash_recorded"", ""path"": ""lab/runs/onnxlab_wave03_mix3_cell_002_cell009_tradeability_anchor_tree_v0/metrics.json"", ""sha256"": ""839a6c296ea2eb4d8891690d6de50a10fe8fe8124cba75f32e2b0c385c8a36fe"", ""size_bytes"": 3434}]",proxy_metrics_json_key:model_metrics.validation.roc_auc,proxy_observation_only_no_runtime_authority_no_economics_pass,kpi_observation_projection_only_no_runtime_authority_no_economics_pass_no_selected_baseline_no_live_readiness,2026-06-28T19:15:47.050075Z
proxy_onnxlab_wave03_mix3_cell_003_cell009_adverse_move_abstain_v0_proxy_validation_roc_auc_v1,kpi_ledger_record_v1,proxy_experiment,special_mixing,goal_us100_onnx_forward_boundary_v0,wave_us100_wave03_volatility_state_transition_surface_v0,campaign_us100_wave03_bounded_synthesis_special_mixing_v0,campaign_us100_wave03_bounded_synthesis_special_mixing_v0,,,onnxlab_wave03_mix3_cell_003_cell009_adverse_move_abstain_v0,onnxlab_wave03_mix3_cell_003_cell009_adverse_move_abstain_v0,,,validation,,,proxy.validation.roc_auc,proxy,0.610283424292,float,ratio,observed,,proxy_metrics_json,lab/runs/onnxlab_wave03_mix3_cell_003_cell009_adverse_move_abstain_v0/metrics.json,273af9c0848b2857b6cfb68be6b78ffe41442d3fb3e144dc84d30f4158313347,"[{""availability"": ""present_hash_recorded"", ""path"": ""lab/runs/onnxlab_wave03_mix3_cell_003_cell009_adverse_move_abstain_v0/metrics.json"", ""sha256"": ""273af9c0848b2857b6cfb68be6b78ffe41442d3fb3e144dc84d30f4158313347"", ""size_bytes"": 3444}]",proxy_metrics_json_key:model_metrics.validation.roc_auc,proxy_observation_only_no_runtime_authority_no_economics_pass,kpi_observation_projection_only_no_runtime_authority_no_economics_pass_no_selected_baseline_no_live_readiness,2026-06-28T19:15:47.050075Z
proxy_onnxlab_wave03_mix3_cell_004_cell009_drawdown_rebound_tradeability_v0_proxy_validation_roc_auc_v1,kpi_ledger_record_v1,proxy_experiment,special_mixing,goal_us100_onnx_forward_boundary_v0,wave_us100_wave03_volatility_state_transition_surface_v0,campaign_us100_wave03_bounded_synthesis_special_mixing_v0,campaign_us100_wave03_bounded_synthesis_special_mixing_v0,,,onnxlab_wave03_mix3_cell_004_cell009_drawdown_rebound_tradeability_v0,onnxlab_wave03_mix3_cell_004_cell009_drawdown_rebound_tradeability_v0,,,validation,,,proxy.validation.roc_auc,proxy,0.620810930101,float,ratio,observed,,proxy_metrics_json,lab/runs/onnxlab_wave03_mix3_cell_004_cell009_drawdown_rebound_tradeability_v0/metrics.json,4c5be0c1dcb2220eaf38f3f56c179999daefbb901f7ef6ca5bfd404efa1db310,"[{""availability"": ""present_hash_recorded"", ""path"": ""lab/runs/onnxlab_wave03_mix3_cell_004_cell009_drawdown_rebound_tradeability_v0/metrics.json"", ""sha256"": ""4c5be0c1dcb2220eaf38f3f56c179999daefbb901f7ef6ca5bfd404efa1db310"", ""size_bytes"": 3445}]",proxy_metrics_json_key:model_metrics.validation.roc_auc,proxy_observation_only_no_runtime_authority_no_economics_pass,kpi_observation_projection_only_no_runtime_authority_no_economics_pass_no_selected_baseline_no_live_readiness,2026-06-28T19:15:47.050075Z
proxy_onnxlab_wave03_mix3_cell_005_cell009_false_break_guard_v0_proxy_validation_roc_auc_v1,kpi_ledger_record_v1,proxy_experiment,special_mixing,goal_us100_onnx_forward_boundary_v0,wave_us100_wave03_volatility_state_transition_surface_v0,campaign_us100_wave03_bounded_synthesis_special_mixing_v0,campaign_us100_wave03_bounded_synthesis_special_mixing_v0,,,onnxlab_wave03_mix3_cell_005_cell009_false_break_guard_v0,onnxlab_wave03_mix3_cell_005_cell009_false_break_guard_v0,,,validation,,,proxy.validation.roc_auc,proxy,0.520281819144,float,ratio,observed,,proxy_metrics_json,lab/runs/onnxlab_wave03_mix3_cell_005_cell009_false_break_guard_v0/metrics.json,a83d4708b7bffc78a5b819440ca43ce197e4a0d4007d9618772d5b7aef44e292,"[{""availability"": ""present_hash_recorded"", ""path"": ""lab/runs/onnxlab_wave03_mix3_cell_005_cell009_false_break_guard_v0/metrics.json"", ""sha256"": ""a83d4708b7bffc78a5b819440ca43ce197e4a0d4007d9618772d5b7aef44e292"", ""size_bytes"": 3433}]",proxy_metrics_json_key:model_metrics.validation.roc_auc,proxy_observation_only_no_runtime_authority_no_economics_pass,kpi_observation_projection_only_no_runtime_authority_no_economics_pass_no_selected_baseline_no_live_readiness,2026-06-28T19:15:47.050075Z
proxy_onnxlab_wave03_mix3_cell_006_cell009_session_tradeability_gate_v0_proxy_validation_roc_auc_v1,kpi_ledger_record_v1,proxy_experiment,special_mixing,goal_us100_onnx_forward_boundary_v0,wave_us100_wave03_volatility_state_transition_surface_v0,campaign_us100_wave03_bounded_synthesis_special_mixing_v0,campaign_us100_wave03_bounded_synthesis_special_mixing_v0,,,onnxlab_wave03_mix3_cell_006_cell009_session_tradeability_gate_v0,onnxlab_wave03_mix3_cell_006_cell009_session_tradeability_gate_v0,,,validation,,,proxy.validation.roc_auc,proxy,0.514114483239,float,ratio,observed,,proxy_metrics_json,lab/runs/onnxlab_wave03_mix3_cell_006_cell009_session_tradeability_gate_v0/metrics.json,ffd2cc5995f95afd5bad7052ec21b9c818d02eb7fc1ebb04e2995f2cdc6409d1,"[{""availability"": ""present_hash_recorded"", ""path"": ""lab/runs/onnxlab_wave03_mix3_cell_006_cell009_session_tradeability_gate_v0/metrics.json"", ""sha256"": ""ffd2cc5995f95afd5bad7052ec21b9c818d02eb7fc1ebb04e2995f2cdc6409d1"", ""size_bytes"": 3431}]",proxy_metrics_json_key:model_metrics.validation.roc_auc,proxy_observation_only_no_runtime_authority_no_economics_pass,kpi_observation_projection_only_no_runtime_authority_no_economics_pass_no_selected_baseline_no_live_readiness,2026-06-28T19:15:47.050075Z
