run_id,attempt_id,cell_id,bundle_id,period_role,proxy_stream_path,mt5_telemetry_path,proxy_row_count,mt5_row_count,common_key_count,decision_match_count,decision_mismatch_count,proxy_only_row_count,mt5_only_row_count,max_abs_score_delta,proxy_decision_counts_json,mt5_decision_counts_json,row_level_status,claim_boundary
onnxlab_wave03_mix3_cell_001_cell009_tradeability_anchor_logistic_v0,attempt_wave03_mix3_cell_001_l4_validation_v0,wave03_mix3_cell_001,bundle_wave03_mix3_cell_001_l4_onnx_export_v0,validation,lab/runs/onnxlab_wave03_mix3_cell_001_cell009_tradeability_anchor_logistic_v0/artifacts/proxy_decision_stream_validation.csv,runtime/mt5_attempts/attempt_wave03_mix3_cell_001_l4_validation_v0/telemetry/score_telemetry.csv,53810,53554,53553,53553,0,257,1,0.0158057533685,"{""flat"": 30835, ""long"": 10726, ""short"": 12249}","{""flat"": 30722, ""long"": 10663, ""short"": 12169}",common_key_decision_match,wave03_bounded_synthesis_mix3_l4_pair_kpi_parity_observation_only_no_runtime_authority_no_economics_pass_no_candidate_no_selected_baseline_no_live_readiness_no_goal_achieve
onnxlab_wave03_mix3_cell_001_cell009_tradeability_anchor_logistic_v0,attempt_wave03_mix3_cell_001_l4_research_oos_v0,wave03_mix3_cell_001,bundle_wave03_mix3_cell_001_l4_onnx_export_v0,research_oos,lab/runs/onnxlab_wave03_mix3_cell_001_cell009_tradeability_anchor_logistic_v0/artifacts/proxy_decision_stream_research_oos_a.csv,runtime/mt5_attempts/attempt_wave03_mix3_cell_001_l4_research_oos_v0/telemetry/score_telemetry.csv,45549,45281,45280,45280,0,269,1,1.09605158949e-07,"{""flat"": 25019, ""long"": 9819, ""short"": 10711}","{""flat"": 24813, ""long"": 9801, ""short"": 10667}",common_key_decision_match,wave03_bounded_synthesis_mix3_l4_pair_kpi_parity_observation_only_no_runtime_authority_no_economics_pass_no_candidate_no_selected_baseline_no_live_readiness_no_goal_achieve
onnxlab_wave03_mix3_cell_002_cell009_tradeability_anchor_tree_v0,attempt_wave03_mix3_cell_002_l4_validation_v0,wave03_mix3_cell_002,bundle_wave03_mix3_cell_002_l4_onnx_export_v0,validation,lab/runs/onnxlab_wave03_mix3_cell_002_cell009_tradeability_anchor_tree_v0/artifacts/proxy_decision_stream_validation.csv,runtime/mt5_attempts/attempt_wave03_mix3_cell_002_l4_validation_v0/telemetry/score_telemetry.csv,53810,53554,53553,53553,0,257,1,1.60144658312e-07,"{""flat"": 31254, ""long"": 10550, ""short"": 12006}","{""flat"": 31110, ""long"": 10504, ""short"": 11940}",common_key_decision_match,wave03_bounded_synthesis_mix3_l4_pair_kpi_parity_observation_only_no_runtime_authority_no_economics_pass_no_candidate_no_selected_baseline_no_live_readiness_no_goal_achieve
onnxlab_wave03_mix3_cell_002_cell009_tradeability_anchor_tree_v0,attempt_wave03_mix3_cell_002_l4_research_oos_v0,wave03_mix3_cell_002,bundle_wave03_mix3_cell_002_l4_onnx_export_v0,research_oos,lab/runs/onnxlab_wave03_mix3_cell_002_cell009_tradeability_anchor_tree_v0/artifacts/proxy_decision_stream_research_oos_a.csv,runtime/mt5_attempts/attempt_wave03_mix3_cell_002_l4_research_oos_v0/telemetry/score_telemetry.csv,45549,45281,45280,45280,0,269,1,1.63964154865e-07,"{""flat"": 26026, ""long"": 8834, ""short"": 10689}","{""flat"": 25832, ""long"": 8808, ""short"": 10641}",common_key_decision_match,wave03_bounded_synthesis_mix3_l4_pair_kpi_parity_observation_only_no_runtime_authority_no_economics_pass_no_candidate_no_selected_baseline_no_live_readiness_no_goal_achieve
onnxlab_wave03_mix3_cell_003_cell009_adverse_move_abstain_v0,attempt_wave03_mix3_cell_003_l4_validation_v0,wave03_mix3_cell_003,bundle_wave03_mix3_cell_003_l4_onnx_export_v0,validation,lab/runs/onnxlab_wave03_mix3_cell_003_cell009_adverse_move_abstain_v0/artifacts/proxy_decision_stream_validation.csv,runtime/mt5_attempts/attempt_wave03_mix3_cell_003_l4_validation_v0/telemetry/score_telemetry.csv,27658,53554,27519,27519,0,139,26035,0.00295464650802,"{""flat"": 16137, ""long"": 5836, ""short"": 5685}","{""flat"": 24745, ""long"": 22967, ""short"": 5842}",common_key_decision_match,wave03_bounded_synthesis_mix3_l4_pair_kpi_parity_observation_only_no_runtime_authority_no_economics_pass_no_candidate_no_selected_baseline_no_live_readiness_no_goal_achieve
onnxlab_wave03_mix3_cell_003_cell009_adverse_move_abstain_v0,attempt_wave03_mix3_cell_003_l4_research_oos_v0,wave03_mix3_cell_003,bundle_wave03_mix3_cell_003_l4_onnx_export_v0,research_oos,lab/runs/onnxlab_wave03_mix3_cell_003_cell009_adverse_move_abstain_v0/artifacts/proxy_decision_stream_research_oos_a.csv,runtime/mt5_attempts/attempt_wave03_mix3_cell_003_l4_research_oos_v0/telemetry/score_telemetry.csv,23359,45281,23214,23214,0,145,22067,9.93335292354e-08,"{""flat"": 13647, ""long"": 5145, ""short"": 4567}","{""flat"": 20921, ""long"": 19593, ""short"": 4767}",common_key_decision_match,wave03_bounded_synthesis_mix3_l4_pair_kpi_parity_observation_only_no_runtime_authority_no_economics_pass_no_candidate_no_selected_baseline_no_live_readiness_no_goal_achieve
onnxlab_wave03_mix3_cell_004_cell009_drawdown_rebound_tradeability_v0,attempt_wave03_mix3_cell_004_l4_validation_v0,wave03_mix3_cell_004,bundle_wave03_mix3_cell_004_l4_onnx_export_v0,validation,lab/runs/onnxlab_wave03_mix3_cell_004_cell009_drawdown_rebound_tradeability_v0/artifacts/proxy_decision_stream_validation.csv,runtime/mt5_attempts/attempt_wave03_mix3_cell_004_l4_validation_v0/telemetry/score_telemetry.csv,53810,53554,53553,53553,0,257,1,1.60385476289e-07,"{""flat"": 31612, ""long"": 10623, ""short"": 11575}","{""flat"": 31458, ""long"": 10580, ""short"": 11516}",common_key_decision_match,wave03_bounded_synthesis_mix3_l4_pair_kpi_parity_observation_only_no_runtime_authority_no_economics_pass_no_candidate_no_selected_baseline_no_live_readiness_no_goal_achieve
onnxlab_wave03_mix3_cell_004_cell009_drawdown_rebound_tradeability_v0,attempt_wave03_mix3_cell_004_l4_research_oos_v0,wave03_mix3_cell_004,bundle_wave03_mix3_cell_004_l4_onnx_export_v0,research_oos,lab/runs/onnxlab_wave03_mix3_cell_004_cell009_drawdown_rebound_tradeability_v0/artifacts/proxy_decision_stream_research_oos_a.csv,runtime/mt5_attempts/attempt_wave03_mix3_cell_004_l4_research_oos_v0/telemetry/score_telemetry.csv,45549,45281,45280,45280,0,269,1,1.62530415737e-07,"{""flat"": 27949, ""long"": 8144, ""short"": 9456}","{""flat"": 27770, ""long"": 8117, ""short"": 9394}",common_key_decision_match,wave03_bounded_synthesis_mix3_l4_pair_kpi_parity_observation_only_no_runtime_authority_no_economics_pass_no_candidate_no_selected_baseline_no_live_readiness_no_goal_achieve
onnxlab_wave03_mix3_cell_005_cell009_false_break_guard_v0,attempt_wave03_mix3_cell_005_l4_validation_v0,wave03_mix3_cell_005,bundle_wave03_mix3_cell_005_l4_onnx_export_v0,validation,lab/runs/onnxlab_wave03_mix3_cell_005_cell009_false_break_guard_v0/artifacts/proxy_decision_stream_validation.csv,runtime/mt5_attempts/attempt_wave03_mix3_cell_005_l4_validation_v0/telemetry/score_telemetry.csv,21365,53554,21298,21298,0,67,32256,6.91070720649e-08,"{""flat"": 13762, ""long"": 3788, ""short"": 3815}","{""flat"": 28027, ""long"": 8391, ""short"": 17136}",common_key_decision_match,wave03_bounded_synthesis_mix3_l4_pair_kpi_parity_observation_only_no_runtime_authority_no_economics_pass_no_candidate_no_selected_baseline_no_live_readiness_no_goal_achieve
onnxlab_wave03_mix3_cell_005_cell009_false_break_guard_v0,attempt_wave03_mix3_cell_005_l4_research_oos_v0,wave03_mix3_cell_005,bundle_wave03_mix3_cell_005_l4_onnx_export_v0,research_oos,lab/runs/onnxlab_wave03_mix3_cell_005_cell009_false_break_guard_v0/artifacts/proxy_decision_stream_research_oos_a.csv,runtime/mt5_attempts/attempt_wave03_mix3_cell_005_l4_research_oos_v0/telemetry/score_telemetry.csv,18034,45281,18034,18034,0,0,27247,1.24887422792e-07,"{""flat"": 11940, ""long"": 3123, ""short"": 2971}","{""flat"": 23929, ""long"": 7340, ""short"": 14012}",common_key_decision_match,wave03_bounded_synthesis_mix3_l4_pair_kpi_parity_observation_only_no_runtime_authority_no_economics_pass_no_candidate_no_selected_baseline_no_live_readiness_no_goal_achieve
onnxlab_wave03_mix3_cell_006_cell009_session_tradeability_gate_v0,attempt_wave03_mix3_cell_006_l4_validation_v0,wave03_mix3_cell_006,bundle_wave03_mix3_cell_006_l4_onnx_export_v0,validation,lab/runs/onnxlab_wave03_mix3_cell_006_cell009_session_tradeability_gate_v0/artifacts/proxy_decision_stream_validation.csv,runtime/mt5_attempts/attempt_wave03_mix3_cell_006_l4_validation_v0/telemetry/score_telemetry.csv,7289,53554,7252,7252,0,37,46302,1.2284136508e-07,"{""flat"": 4571, ""long"": 1193, ""short"": 1525}","{""flat"": 24130, ""long"": 12724, ""short"": 16700}",common_key_decision_match,wave03_bounded_synthesis_mix3_l4_pair_kpi_parity_observation_only_no_runtime_authority_no_economics_pass_no_candidate_no_selected_baseline_no_live_readiness_no_goal_achieve
onnxlab_wave03_mix3_cell_006_cell009_session_tradeability_gate_v0,attempt_wave03_mix3_cell_006_l4_research_oos_v0,wave03_mix3_cell_006,bundle_wave03_mix3_cell_006_l4_onnx_export_v0,research_oos,lab/runs/onnxlab_wave03_mix3_cell_006_cell009_session_tradeability_gate_v0/artifacts/proxy_decision_stream_research_oos_a.csv,runtime/mt5_attempts/attempt_wave03_mix3_cell_006_l4_research_oos_v0/telemetry/score_telemetry.csv,6142,45281,6105,6105,0,37,39176,1.0286667862e-07,"{""flat"": 3544, ""long"": 1029, ""short"": 1569}","{""flat"": 20096, ""long"": 10945, ""short"": 14240}",common_key_decision_match,wave03_bounded_synthesis_mix3_l4_pair_kpi_parity_observation_only_no_runtime_authority_no_economics_pass_no_candidate_no_selected_baseline_no_live_readiness_no_goal_achieve
